Monte;Year;HR;Catch;Effort;Bvulnerable;Bmature;Btotal;Larvae;Settlers;Recruits;Density;Depletion_Bvul;Depletion_Bmature
2;2019;0,278567842855104;351227,706572114;0;1260833,63740876;1335903,96073999;1359851,84547096;123,158899098317;132,436134770878;132,436134770878;1,09439106228229E-04;2,64418312841215E-02;0,027013444713091
2;2020;0,276084709591076;385407,36325133;0;1395975,03904573;1476000,09289837;1505210,26564883;136,074562133705;148,382210053273;148,382210053273;1,11258586797378E-04;2,66145244659161E-02;2,71330384639744E-02
2;2021;0,277145296780626;425023,176003878;0;1533575,27961337;1621487,84187062;1653112,85430114;149,48728604373;167,487744927134;167,487744927134;1,13831903887869E-04;2,68014071549616E-02;0,027323553599029
2;2022;0,291615940504068;487649,563845893;0;1672232,19349043;1767896,70858586;1802982,08307056;162,984929117483;182,631562048752;182,631562048752;1,15363836645372E-04;2,69765850003714E-02;2,74990864148565E-02
2;2023;0,282132854363557;511374,555262055;0;1812531,03760506;1917090,69107369;1954891,94332382;176,739336002478;198,199988128964;198,199988128964;1,16971587093913E-04;0,027151333208448;2,76897703274023E-02
2;2024;0,291829631322704;570512,236353087;0;1954949,65253277;2066972,51792505;2108576,39479542;190,557156244311;212,162789002542;212,162789002542;1,1814609567546E-04;2,73324184610962E-02;2,78643023637307E-02
2;2025;0,304623412781135;639480,129979235;0;2099248,13112998;2218894,03891931;2263757,72699379;204,563018809934;225,357145067064;225,357145067064;1,19105236126265E-04;2,75155080237851E-02;2,80427959298022E-02
2;2026;0,284803795745646;639480,129979235;0;2245335,69963493;2374436,19882382;2420982,05180065;218,902673261293;242,533462734244;242,533462734244;1,21040874676295E-04;2,76991283826447E-02;2,82433568961575E-02
2;2027;0,286546735406163;685512,255719724;0;2392322,68602904;2530681,86223351;2580282,83082775;233,307184708182;259,411190910685;259,411190910685;1,22863537891224E-04;2,78728255498399E-02;2,84295364291504E-02
2;2028;0,283779379348472;721008,589474716;0;2540736,36756158;2689719,75357786;2741182,71849045;247,969115646719;273,284226025824;273,284226025824;1,23898936672395E-04;2,80439862940562E-02;0,028625834913563
2;2029;0,278666497436689;749966,20426126;0;2691267,91759977;2850193,99272786;2904080,07737546;262,763465546248;288,815160661841;288,815160661841;1,25328307876469E-04;2,82202386207719E-02;2,88170258142993E-02
2;2030;0,286128134394495;813540,348830276;0;2843272,82443543;3012495,20621057;3067561,9156792;277,726246825659;295,924858708938;295,924858708938;1,24624066590753E-04;2,83944187279595E-02;2,90076001658025E-02
2;2031;0,271432893877649;813540,348830276;0;2997206,1867969;3176551,51119852;3232485,23159151;292,850832504155;307,746039422942;307,746039422942;1,25111640357206E-04;2,85711474620745E-02;2,91969813385641E-02
2;2032;0,263524398722671;831270,074652879;0;3154433,05698497;3341145,07737618;3401688,49127999;308,024949061065;336,143544672819;336,143544672819;1,29733640944659E-04;2,87625391215017E-02;2,93746180663422E-02
2;2033;0,272124186991688;901969,262694789;0;3314550,14221996;3507809,11861893;3574578,89683631;323,389945679058;361,759120916079;361,759120916079;1,33568638572869E-04;2,89632367833841E-02;2,95548964330115E-02
2;2034;0,264507421733183;919451,26556924;0;3476088,72198951;3678551,06033188;3748950,95406009;339,130889780778;374,689699381894;374,689699381894;1,34156448541943E-04;2,91598030980151E-02;2,97537363801252E-02
2;2035;0,258328122032134;940211,671566927;0;3639602,47212254;3852414,26049704;3925540,74962847;355,159587168718;391,736448211396;391,736448211396;1,35761660891896E-04;2,93571807309358E-02;2,99615560515335E-02
2;2036;0,266525209301621;1014293,91235704;0;3805620,92049305;4028035,00754424;4104697,08948594;371,350315320446;411,107547332889;411,107547332889;1,37916175737953E-04;2,95593925365737E-02;3,01671444611649E-02
2;2037;0,269682395648055;1071623,97222988;0;3973651,93102328;4204337,26506873;4285914,62603773;387,603872898969;427,813943954462;427,813943954462;1,3936185285197E-04;2,97622345204536E-02;3,03629697308402E-02
2;2038;0,265026511980222;1098157,20019929;0;4143574,889901;4383783,26051977;4468717,77674849;404,147256178639;442,968755511807;442,968755511807;1,40391007208559E-04;2,99647692581688E-02;3,05672104413099E-02
2;2039;0,259486655113875;1119606,48504618;0;4314697,74256731;4568009,6153198;4652799,67468016;421,131347631965;457,014408971638;457,014408971638;1,41122493322162E-04;3,01621896196173E-02;3,07900564758054E-02
2;2040;0,263865187680675;1183857,37628824;0;4486599,33769256;4753203,60260197;4839053,48711782;438,204646509427;474,834089132842;474,834089132842;1,42783001646279E-04;3,03521414278223E-02;3,10048371503681E-02
2;2041;0,266581838791744;1242472,65536951;0;4660755,06493952;4937988,69057753;5027854,14860811;455,240248374287;493,562399020157;493,562399020157;1,44637787369998E-04;3,05449940587085E-02;3,12036101599922E-02
2;2042;0,261167832212764;1263722,65320867;0;4838737,76682867;5125792,35800314;5219617,53902986;472,554137401124;515,002140238699;515,002140238699;1,47133703765252E-04;3,07504793131179E-02;3,14088329843173E-02
2;2043;0,257122552954508;1290572,32359304;0;5019288,69624042;5316502,23867748;5413535,05167666;490,135954388936;531,860809842798;531,860809842798;1,48434929970418E-04;3,09597184085493E-02;3,16192682373544E-02
2;2044;0,258905872595517;1347023,53818672;0;5202753,89925646;5509726,05897094;5611608,6481389;507,949535070088;560,218351176893;560,218351176893;1,52585107816576E-04;3,11744630661699E-02;3,18322027956568E-02
2;2045;0,25865296267389;1393803,35137204;0;5388700,50806007;5704796,67310322;5812257,16683131;525,933374319773;579,802293742659;579,802293742659;1,54459707661964E-04;3,13917328290697E-02;3,20436810448675E-02
2;2046;0,259433679208886;1446814,90583498;0;5576819,90344076;5903711,92675522;6014730,5087875;544,27165639214;595,537234656306;595,537234656306;1,55334936982015E-04;3,16095736965273E-02;3,22647396135641E-02
2;2047;0,250818451522917;1446814,90583498;0;5768375,0818579;6105628,78959462;6221874,95202302;562,88666111367;628,41056114835;628,41056114835;1,60477431754404E-04;3,18349108943271E-02;3,24901361084073E-02
2;2048;0,251208094320716;1497857,0956008;0;5962614,77820255;6309388,94298396;6432871,55410722;581,671601430514;657,033624656585;657,033624656585;1,64455533632984E-04;3,20631279585062E-02;3,27135310800748E-02
2;2049;0,248658815689122;1531245,23712554;0;6158017,09214256;6518132,01642628;6644757,69989688;600,915924282371;668,722885675068;668,722885675068;1,64121412928568E-04;3,22860296878288E-02;3,29509463316558E-02
2;2050;0,244403258761438;1553199,51442236;0;6355068,75928537;6729859,38839794;6858102,64008141;620,435373889037;683,308824697991;683,308824697991;1,64518076700123E-04;0,032506494686222;3,31914988374489E-02
