Monte;Region;Area;Year;HR;Catch;Effort;Bvulnerable;Bmature;Btotal;Larvae;Settlers;Recruits;Density;Depletion_Bvul;Depletion_Bmature
2;1;4;2021;0,4882884624095;17685,6557407337;0;36219,687955481;37499,0242383082;38988,2311613991;3,45708874153867;12,0474641931214;12,0474641931214;3,04323088827433E-05;1,89517359778434E-02;1,89188723914759E-02
2;1;4;2022;0,67743545254335;24755,3980169092;0;36542,814409798;37070,1821543383;39289,9631405805;3,41755317573384;2,02366239930945;2,02366239930945;3,03356243923537E-05;1,91208099703416E-02;1,87025145307709E-02
2;1;4;2023;0;0;0;37309,4791497155;39383,9436566285;40246,3980770752;3,63086216183811;6,2047775679995;6,2047775679995;3,1286133175317E-05;1,95219627288164E-02;1,98698451345742E-02
2;1;4;2024;0,481048598159182;18163,0437940172;0;37757,190985529;39548,2817551709;40711,2228839022;3,64601272646791;3,59448328484296;3,59448328484296;3,1565247052555E-05;0,019756225280082;0,019952756399028
2;1;4;2025;0,691906603083575;26362,8581106178;0;38101,7582331606;40343,8128397525;41255,8036060369;3,71935387632219;4,26568377122674;4,26568377122674;3,2006634226321E-05;1,99365180399686E-02;2,03541148711047E-02
2;1;4;2026;0;0;0;38518,9730471716;40738,1139599555;41711,8309902594;3,75570506121615;3,96939986558717;3,96939986558717;3,23652103720512E-05;2,01548232062334E-02;2,05530462494128E-02
2;1;4;2027;0,498970830420472;19378,1343926028;0;38836,2068705965;41044,1970041589;42067,2029435083;3,78392329535917;3,60986267370916;3,60986267370916;3,2626801936406E-05;2,03208139147172E-02;2,07074701623572E-02
2;1;4;2028;0;0;0;39121,4357374156;43304,8288871528;42381,077201877;3,99233418578116;3,66044251923945;3,66044251923945;3,28958586021173E-05;2,04700582202965E-02;2,18479960023542E-02
2;1;4;2029;0,743618955834523;28957,614786544;0;38941,4693632258;41950,5855762994;42587,2249905613;3,86748455573472;2,07726090166899;2,07726090166899;3,27637921844992E-05;2,03758918869827E-02;2,11647580540219E-02
2;1;4;2030;0,492815733175787;19557,0822394184;0;39684,3706944769;43141,2479618988;42982,9661071041;3,97725342604107;3,190534370595;3,190534370595;3,29126592243931E-05;2,07646105834212E-02;2,17654667442356E-02
2;1;4;2031;0;0;0;40382,0531987245;42950,861348764;43184,1204817223;3,95970141155062;1,73805460041479;1,73805460041479;3,26954585568512E-05;2,11296687979787E-02;2,16694135771971E-02
2;1;4;2032;0;0;0;41229,7695308933;43519,2655618792;44241,6425829293;4,01210340988839;6,69251199215502;6,69251199215502;3,37211730986203E-05;2,15732313193101E-02;0,021956182819681
2;1;4;2033;0,520240331595851;21973,5718041857;0;42237,347759604;43673,4605613261;45443,6652489714;4,02631886768809;7,63589476074595;7,63589476074595;3,49624228238015E-05;2,21004406257796E-02;0,022033976724381
2;1;4;2034;0;0;0;42918,4168531598;44634,5686786878;46247,9518590891;4,11492480129364;5,46202144891795;5,46202144891795;3,56356258297095E-05;2,24568059721515E-02;2,25188715235422E-02
2;1;4;2035;0;0;0;43318,5228670311;45791,5772577616;46477,0643425707;4,22159107898557;2,28049596455935;2,28049596455935;3,55001171518771E-05;2,26661590606528E-02;2,31026013167292E-02
2;1;4;2036;0,474290866822926;20790,3104483157;0;43834,5157004208;46270,0480831259;47009,0132523178;4,26570198952579;4,14196280670287;4,14196280670287;3,583265843618E-05;2,29361492371801E-02;2,33439976909544E-02
2;1;4;2037;0,668152755968895;29572,7217828716;0;44260,4202686972;46635,0941124258;47327,9465175758;4,29935610569735;3,2152874922693;3,2152874922693;3,59269461332651E-05;2,31590012656032E-02;2,35281693963687E-02
2;1;4;2038;0;0;0;44426,8640845057;46823,2560794992;47412,1425979809;4,31670302688179;2,0487890960242;2,0487890960242;3,57277422097957E-05;2,32460920007919E-02;0,023623100193004
2;1;4;2039;0,480079576731221;21449,2848468853;0;44678,6030618712;47943,2339139004;47674,8720590831;4,4199553871959;3,38858649823938;3,38858649823938;3,58674321388474E-05;2,33778129211992E-02;2,41881473685162E-02
2;1;4;2040;0;0;0;44598,217078311;48161,5609787901;47688,0037449796;4,44008327194316;1,69233066809934;1,69233066809934;3,55802920644431E-05;2,33357514341256E-02;2,42982969514495E-02
2;1;4;2041;0,642765361629267;28791,5730113865;0;44793,2865243489;48148,0228904004;47942,7961593753;4,43883517618854;2,57517892173798;2,57517892173798;3,55195498078685E-05;2,34378203598214E-02;0,024291466763948
2;1;4;2042;0,465608318585142;21249,9978391591;0;45639,2143158699;47752,0996035578;48566,0195294582;4,4023344414292;4,4565484678732;4,4565484678732;3,59303527150942E-05;2,38804470379124E-02;2,40917169759805E-02
2;1;4;2043;0;0;0;46436,2724512113;48349,8682340376;48934,9171226973;4,45744358745241;3,19175394572739;3,19175394572739;3,6016822549211E-05;2,42975029595026E-02;2,43933010483501E-02
2;1;4;2044;0;0;0;47334,430815602;48757,7178897052;50178,3154065136;4,49504383123178;8,36236837513476;8,36236837513476;3,73942337732451E-05;2,47674589737329E-02;2,45990678848802E-02
2;1;4;2045;0,499259618336289;23938,3252912676;0;47947,6497038528;48881,8625594078;51068,5622811811;4,50648890610155;6,58069412458618;6,58069412458618;3,82989518650041E-05;0,025088322104333;2,46617009056559E-02
2;1;4;2046;0;0;0;48146,62830678;50247,8311961476;51009,8597659764;4,63241951073162;1,46608388515718;1,46608388515718;3,79071027784056E-05;2,51924364730861E-02;2,53508544730929E-02
2;1;4;2047;0;0;0;48967,9816150834;50727,8323136078;52457,2036984662;4,67667150109148;10,3575806255845;10,3575806255845;3,97458870086921E-05;2,56222046992129E-02;2,55930229047642E-02
2;1;4;2048;0,478589819053675;23760,6804125399;0;49647,2751123757;50755,0590115055;53571,5624705746;4,67918156935815;8,89728759050649;8,89728759050649;4,11831876129468E-05;2,59776409754164E-02;2,56067592201386E-02
2;1;4;2049;0,67182877992316;33388,1415247401;0;49697,3969000835;52401,9369154667;53606,7918443759;4,8310096015835;2,96633103319871;2,96633103319871;4,11092886190533E-05;2,60038669022809E-02;2,64376361173981E-02
2;1;4;2050;0;0;0;49746,9880658948;53213,3224738961;53914,8967022246;4,90581239808474;4,50274242877028;4,50274242877028;4,14209557721731E-05;2,60298151843987E-02;2,68469934314086E-02
